"","District","Bed","Station","set_lat","set_lon","set_date","haul","Sampler","size_class","species_code","Basket","number","weight","Species"
"1","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",1,74120,"AA",10,1.5,"Weathervane scallop"
"2","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",1,74120,"ZZ",6,1.09,"Weathervane scallop"
"3","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",2,74120,"PP",2,0.01,"Weathervane scallop"
"4","WKI","WK1","H32",59.803,-144.872,"2016-4-14",2,"JM",1,74120,"XX",1,0.22,"Weathervane scallop"
"5","WKI","WK1","H32",59.803,-144.872,"2016-4-14",2,"JM",3,74120,"",NA,0.07,"Weathervane scallop"
"6","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"M",43,7.42,"Weathervane scallop"
"7","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"OO",10,1.7,"Weathervane scallop"
"8","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"",3,0.47,"Weathervane scallop"
"9","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",2,74120,"K",168,6.54,"Weathervane scallop"
"10","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",156,19.06,"Weathervane scallop"
"11","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",82,10.76,"Weathervane scallop"
"12","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",4,0.34,"Weathervane scallop"
"13","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",3,74120,"",NA,4.06,"Empty shells"
"14","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",2,74120,"X",204,1.6,"Weathervane scallop"
"15","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",1,74120,"L",62,9.36,"Weathervane scallop"
"16","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",3,74120,"",NA,1.25,"Empty shells"
"17","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",2,74120,"AA",3,0.015,"Weathervane scallop"
"18","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",1,74120,"OO",15,3.08,"Weathervane scallop"
"19","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",3,74120,"",NA,0.03,"Empty shells"
"20","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",2,74120,"L",234,3.02,"Weathervane scallop"
"21","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",2,74120,"",117,1.58,"Weathervane scallop"
"22","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"F",110,18.86,"Weathervane scallop"
"23","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"",102,18.22,"Weathervane scallop"
"24","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"",123,20.61,"Weathervane scallop"
"25","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",3,74120,"",NA,0.5,"Empty shells"
