Captain Name,Registration area,Vessel name,Management district,ADF&G Number,Dredge code,Bed code,Station type,Station number,Set date,Haul number,Set Latitude,Set Longitude,Retrieval Latitude,Retrieval Longitude,Compass heading,Start depth (fathoms),Time Haul Start,Tow cable out (fathoms),Average haul speed (knots),Beaufort scale,Swell,Surface temp  ?C,Max Depth (fathoms),Min Depth (fathoms),Inclenometer,Logger,Camera,End depth (fathoms),Time Haul End,Haul Duration,Haul distance,Haul distance (calculated),Gear performance code,COMMENTS
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,G34,2016-4-14,1,59.820,-144.800,59.836,-144.800,359,52,11:15,175,3.6,5,4,7.00,65,54,Y,N,N,65,11:31,0:16,0.91,0.962,1,Downhill tow - streamed to 225 .6 mi into tow
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,H32,2016-4-14,2,59.803,-144.872,59.807,-144.842,70,86,12:57,275,3.4,5,4,6.83,86,73,Y,N,N,73,13:14,0:17,0.91,0.941,1,
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,L31,2016-4-16,3,59.737,-144.887,59.748,-144.908,332,55,10:47,175,3.7,4,4,6.72,65,55,Y,N,N,65,11:02,0:15,0.90,0.919,1,Increased scope to 200 Fa @ .6 mi into tow. Towed downhill due to seas
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,H35,2016-4-17,4,59.825,-144.721,59.815,-144.745,235,37,8:26,130,3.8,3,3,6.78,37,37,Y,N,N,37,8:41,0:15,0.94,0.944,1,Overestimated deploy time - set 1/2 way into adjacent station!
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,I35,2016-4-17,5,59.800,-144.741,59.791,-144.763,230,35,9:32,125,3.6,3,3,6.83,35,35,Y,N,N,35,9:47,0:15,0.90,0.859,1,
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,J35,2016-4-17,6,59.781,-144.742,59.768,-144.758,220,33,10:27,118,3.8,3,3,6.89,33,31,Y,N,N,31,10:42,0:15,0.91,0.920,1,Small tow
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,K35,2016-4-17,7,59.763,-144.745,59.751,-144.764,226,31,11:10,110,3.9,3,3,7.00,33,31,Y,N,N,33,11:24,0:14,0.90,0.924,1,Very little bycatch - few scallops
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,L34,2016-4-17,8,59.731,-144.801,59.741,-144.778,35,43,11:55,150,3.9,2,3,7.06,43,40,Y,N,N,40,12:10,0:15,0.90,0.922,1,
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,M33,2016-4-17,9,59.715,-144.818,59.728,-144.833,351,46,13:00,160,3.7,3,3,7.28,46,45,Y,N,N,45,13:15,0:15,0.90,0.905,1,
Dave Anderson,E,Solstice,WKI,99945,C,WK1,Standard,N33,2016-4-17,10,59.701,-144.827,59.716,-144.833,353,54,14:12,200,3.7,3,3,6.94,54,50,Y,N,N,50,14:27,0:15,0.90,0.921,1,
